mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,Deck
0.0979,0.2643,-0.3926,0.586,0.005,0.0035,2841.9729,3058.5899,1.0,Esper Goryo's 
0.0397,0.6703,-1.2577,1.2761,0.0079,0.0109,7320.8192,2890.9685,1.0008,Mono-Green Broodscale 
0.0375,0.3816,-0.7016,0.738,0.006,0.0053,4095.1708,3413.6921,1.0006,Domain Zoo 
-0.291,0.2828,-0.8388,0.2138,0.005,0.0038,3212.2661,2986.4593,1.0009,Boros Energy 
-0.0535,0.4177,-0.8301,0.7448,0.0062,0.0056,4534.8835,3180.4306,0.9996,Eldrazi Ramp 
0.3553,0.843,-1.219,1.9401,0.0089,0.0146,8889.1135,3153.8503,1.0007,Dimir Midrange 
-0.7452,0.8081,-2.2161,0.8044,0.009,0.0119,8073.4932,3381.0593,1.0006,Gruul Broodscale 
0.016,0.2767,-0.4907,0.5407,0.0051,0.004,2988.7847,2869.3929,1.0004,Tameshi Belcher 
0.2737,0.7163,-1.0734,1.5811,0.0083,0.0101,7504.5098,3038.9327,0.9999,Grixis Midrange 
-0.5345,0.3777,-1.221,0.1954,0.0059,0.0053,4101.1591,3317.4463,1.0004,Simic Neoform 
0.4118,0.4424,-0.4306,1.2079,0.0062,0.006,5029.6335,3586.997,1.0011,Izzet Prowess 
0.1792,0.4487,-0.6373,1.0453,0.0068,0.0059,4399.1871,3502.5008,1.0,Eldrazi Tron 
0.2893,0.5696,-0.8271,1.3175,0.0071,0.0091,6479.6732,3254.1203,1.0009,Jeskai Chant 
0.8103,0.6782,-0.5221,2.0164,0.0077,0.0116,7790.7708,2803.0028,1.0006,Samwise Gamgee Combo 
-0.0093,0.4259,-0.7907,0.8169,0.0064,0.0061,4364.188,3182.387,1.0003,Azorius Control 
-0.6211,0.4064,-1.359,0.1721,0.0062,0.0054,4322.2498,3295.5326,0.9998,Esper Blink 
0.4406,0.4537,-0.3981,1.2951,0.0064,0.0059,4986.9062,3412.6999,1.0008,Azorius Blink 
0.2411,0.5823,-0.8878,1.2998,0.0076,0.0103,5836.9403,2823.2412,1.0001,Grixis Reanimator 
-0.0462,0.3367,-0.665,0.5827,0.0057,0.0045,3502.4501,3552.3089,0.9999,Izzet Affinity 
0.3416,0.352,-0.302,1.0162,0.0058,0.0048,3663.5697,3691.029,0.9998,Amulet Titan 
0.4216,0.3643,-0.2665,1.0858,0.0059,0.0045,3831.8142,3315.3268,1.0001,Eldrazi Tron
1.0821,0.6549,-0.1286,2.3124,0.0078,0.0104,6973.216,2804.6542,0.9999,Jeskai Control 
0.2453,0.6195,-0.8826,1.4261,0.0077,0.0087,6535.1129,3372.0632,1.0014,Dimir Mill 
0.458,0.6847,-0.8056,1.7625,0.0086,0.011,6296.9214,2967.6691,1.0005,Golgari Broodscale 
-0.4372,0.6353,-1.5723,0.846,0.0078,0.0113,6673.4205,2723.4073,1.0017,Esper Midrange 
-0.0819,0.8307,-1.564,1.5376,0.0087,0.0137,9073.9636,3068.428,1.0005,Golgari Yawgmoth 
-0.678,0.8714,-2.2697,1.0226,0.0088,0.0149,9687.4549,2936.4542,1.0013,Ascendancy Combo 
0.1999,0.76,-1.1839,1.7154,0.0079,0.0131,9353.6377,2994.9863,1.0008,Izzet Wizards 
-0.9748,0.5989,-2.055,0.1683,0.0078,0.0096,5959.9739,2910.8421,1.001,
-0.4428,0.871,-2.0602,1.1694,0.009,0.0152,9363.5925,2947.2274,1.0005,Orzhov Blink 
-0.2065,0.7379,-1.5597,1.2225,0.0087,0.0112,7137.0614,3264.6718,1.0004,Esper Control 
-0.1392,0.8076,-1.6595,1.3736,0.0089,0.0131,8282.6775,2994.7761,1.0012,Ruby Storm 
-0.2629,0.9184,-1.9639,1.4209,0.0098,0.0181,8764.2426,2493.901,1.0009,Jeskai Blink 
-0.1568,0.9187,-1.9188,1.5322,0.0092,0.0169,10061.6928,3005.6213,1.0002,Jeskai Affinity 
